Marks out of 10?,Would you meet again?,Score,Meet
"She said she was going to give me 2, so I'm going to give her 1… I win, right?",Maybe at a murder trial…,1,N
"As a person, 7; as an exciting, romantic date, 2","No hard feelings, but no",2,N
"2. We made a drunken pact, which seemed funny at the time. Now I'm not so sure",Honestly? Probably not,2,N
"As a date, 2.3; as a person to know, 6.4.Would you meet again? As a friend, yes, perhaps","As a friend, yes, perhaps",2,N
4. It felt more like a job interview than a date,"As friends, maybe",4,N
4. Not for me,"No, but I’d say hello if I bumped into him",4,N
4,"We live near one another, so knowing my luck I’ll see him in the street every week",4,N
4,"No – he’s a nice guy, but there was just no chemistry",4,N
4,Unfortunately not,4,N
4,"No. He's sweet, but I need someone more interesting",4,N
4,No,4,N
4/10,"No, I don't think so",4,N
"4. We were quite different people, but not in a good way","I very much doubt it, no",4,N
"Emily is a really nice girl, but there was no attraction: 4","No, but I'm sure we'll bump into each other at some point",4,N
5,Unlikely,5,N
5,"It’s a “no” from me. I do wish him all the best setting up his retreat in Brazil, though",5,N
5. We’re from different worlds,Don’t think so,5,N
"5. Lovely guy, but no attraction. I even received a couple of yawns at the end",Probably not,5,N
5,No,5,N
5,I’m afraid not,5,N
"As a guy, 8. As a date, 5",By accident,5,N
5,I'm afraid not,5,N
A promising 5,"Er, probably not",5,N
5. Cupid definitely had the night off,I'll let you draw your own conclusions,5,N
5,"Probably not, but only because he said he didn't drink much, and I said I'm not any good at amateur dramatics",5,N
"As bingo callers say, man alive – 5",Probably not,5,N
5,I don't think so,5,N
"5.Would you meet again? As friends, maybe","As friends, maybe",5,N
An even 5,"Honestly, no. He seemed a decent guy, but not for me",5,N
"5. Would you meet again? Unfortunately not, Martin is a lovely guy, but not for me","Unfortunately not, Martin is a lovely guy, but not for me",5,N
"5 – there was no chemistry right from the off.Would you meet again? No, but best of luck with the new job in Cardiff, Siân","No, but best of luck with the new job in Cardiff, Siân",5,N
5,"I don't think we'll arrange anything, but Brighton is a small place and we'd stop to chat if we bumped into each other",5,N
"5 for the match, 8 for personality",Not in a romantic way,5,N
5,"Only as friends. We've been in touch and I'd meet up again, but there was no attraction between us.",5,N
5,"No, the search continues",5,N
6,"Unlikely, but I may follow him on Twitter",6,N
6,"I had a nice time, but some things aren’t meant to be",6,N
6.1,"I don’t think so, I’m afraid",6,N
6,I took down her number,6,N
6,“I like Katie Hopkins – she tells it like it is.”,6,N
6,I don’t think so. There was no connection there for me,6,N
6,"No, I don’t think so – there wasn’t much of a spark",6,N
6 for an entertaining evening but the sparks didn’t fly,Probably not,6,N
"6 – not my type, but I had an enjoyable evening","Just as friends, especially if he gets a dog, so I can walk it",6,N
"6, he made me laugh a lot",Not in a romantic scenario,6,N
6. It lacked spark,"I don’t think so. Jon’s a lovely guy, but just not right for me",6,N
"6. A great guy, just not for me",Unlikely,6,N
6,Possibly not,6,N
6. Lovely girl but there wasn’t much chemistry,Unlikely. I’d prefer someone with a bit more edge to them,6,N
"6. Nice guy, but no romance","Unlikely, we didn’t swap numbers",6,N
"6. It was a smooth-running, slightly above-average date with good company","We didn’t exchange numbers, so I doubt it",6,N
6,"We didn’t exchange numbers (we never broached the issue), so no",6,N
"For the date? 6. For Katie herself, a bit higher!",Maybe in another 10 years?,6,N
