Marks out of 10?,Would you meet again?
8,"Yes, I’d like to. We have swapped numbers"
7.5,Yes
8,We don’t have any plans to
8,"Yes, although he walked off without my number"
7,"For a great conversation on European culture, perhaps"
9 (perfection doesn’t exist),"I hope so, although we didn’t exchange numbers"
8,I think following each other on Twitter is as committed as this is going to get
6,"Unlikely, but I may follow him on Twitter"
10,I’ve already invited her up to see my etchings
10 for company,"Yes, as friends"
A solid 8,We swapped numbers and have chatted a bit. I hope to meet up again when we’re both free
7,We’ve agreed to. We’ll see!
5,Unlikely
6.5,"Perhaps, as friends"
8.5,"We’ve planned a rendezvous at Horse Meat Disco, but probably just as mates"
8,We’ve arranged a night out as friends
9,We didn’t exchange numbers
8,"Yes, as friends"
8,"To share a couple of £4 pints, sure"
6,"I had a nice time, but some things aren’t meant to be"
8,"Possibly, but solely as cycling buddies"
6.1,"I don’t think so, I’m afraid"
8,"It’s not on the cards; it was a very nice evening, but there was no spark"
A solid 8,We both agreed there wasn’t that spark
Seven,Why not? Rosie would be an interesting person to hang around with now and again
Seven,Yes. I want to get a slice of his Oreo cheesecake
9,As a mate. He was keen for me to teach him some moves from my street dance class
6,I took down her number
7,"Perhaps as friends. He was sweet and interesting and we had a lot in common, but there was no chemistry"
8.9,Yes
Nine,We swapped numbers. I might take him to Harry Potter World or something
7/10,To grab a few pints as mates
8,We plan to meet again and exchanged numbers
8.7,On Tuesday
6,“I like Katie Hopkins – she tells it like it is.”
A very respectable 7,He’s a bit young for me and there was no spark
Nine,Not to hook up but definitely to party
A full 10,"We’ll see, back in London. I’d like to"
8,We’ve decided to stay friends
8,As friends. We exchanged numbers
8,"Yes, but I’m not sure it would be under romantic circumstances"
7,"Absolutely, but as friends"
4. It felt more like a job interview than a date,"As friends, maybe"
9,"Yes, as friends"
7,"Only as friends, because unfortunately there was no spark"
7,"He’s really interesting, but romantically, he is not for me"
A solid 8,I think we both know that probably won’t happen
8. Great conversation,As friends
9,Yes
A solid 9,"Yes, we talked about going to the theatre"
A solid 8,"I think so. I’m not sure about sparks and butterflies, but he’s a lovely guy"
7.5,"He’s a lovely guy, but I think we’re heading down the friends route here"
7.5,It would be good to show her how my headstand is coming along
9,"Yes. I’m not sure if there was a romantic spark, but I like her energy"
7,Sure
8,I’d hope to
7,"I did ask if she’d like to meet again, but I think we both knew it wasn’t going to happen"
6,I don’t think so. There was no connection there for me
7,Maybe as friends
7,"As friends, sure"
"I refuse to grade people, because this isn’t Tinder, but if I had to grade the evening, I’d give it a solid 9",We swapped numbers at the tube station – I would like to see her again
7,"He’s really interesting but, romantically, he’s not for me"
10,"We talked about going to see Anomalisa but not calling it a date. I suspect I’m not quite what Sandra is looking for, and that’s cool. If she becomes a friend, I can’t ask for more"
9,"I hope so, but just as friends"
7,"Romantically, probably not. As friends, definitely"
A solid 8,I’d be delighted to
7.5,I’d like to: we exchanged phone numbers
6,"No, I don’t think so – there wasn’t much of a spark"
8,"Yes, I definitely would. We have swapped numbers, so I guess time will tell"
8,Yes
10. It was so bad it was actually funny,"Well, he took my number"
7.5,Perhaps just for coffee
"10, without a doubt!",Yes – we already have plans to do so
"A solid 7. Really good company, but maybe a bit young for me",We swapped numbers…
7,"I hate to make a judgment based on one blind date, so yes. But if she says no, you’ll change my answer, right?"
8/10,We’ll see
7,"There was no romantic connection, but maybe we’ll catch up as friends"
8,"We discussed meeting in the future – he took my number, so we shall see if he uses it"
An honest 9 disguised as a shy 8,We exchanged numbers. I’d like to see him again
8,Definitely
The date itself? I’d say 8,"Our paths may cross, but I can’t see romance a’bloomin’"
6 for an entertaining evening but the sparks didn’t fly,Probably not
8,We exchanged numbers and said it would be nice to meet up again soon
8,Yes
7. It would have been 8 if he hadn’t been late,"We’ve exchanged numbers, so we’ll see what happens"
"7 – as a teacher I never give full marks, so 70% is a win",Yes. It’s good to see someone in daylight as well as at dusk!
8,I don’t see why not
"6 – not my type, but I had an enjoyable evening","Just as friends, especially if he gets a dog, so I can walk it"
"6, he made me laugh a lot",Not in a romantic scenario
9,We’ll go skating for sure in the future
4. Not for me,"No, but I’d say hello if I bumped into him"
"7 as a person, but about 3 as a date",Not deliberately
8,I would definitely like to
6. It lacked spark,"I don’t think so. Jon’s a lovely guy, but just not right for me"
"I couldn’t reduce Elizabeth to a numeral! But, to conciliate your readership, 10",I would like to
7,It was a friend-zone situation
8,"As friends, yeah"
8,Perhaps as friends. He’s a bit young for me
5,"It’s a “no” from me. I do wish him all the best setting up his retreat in Brazil, though"
9,Sure
4,"We live near one another, so knowing my luck I’ll see him in the street every week"
